id,id_str,screen_name,location,description,url,followers_count,friends_count,listed_count,created_at,favourites_count,verified,statuses_count,lang,default_profile,status,default_profile_image,has_extended_profile,name,bot
8.16E+17,8.16E+17,HoustonPokeMap,"Houston, TX","Rare and strong PokÃ©mon in Houston, TX. See more PokÃ©mon at https://t.co/dnWuDbFRkt",https://t.co/dnWuDbFRkt,1519,0,11,1/2/2017 2:25,0,FALSE,131300,en,TRUE,,FALSE,FALSE,Houston PokÃ© Alert,1
4843621225,4843621225,kernyeahx,"Templeville town, MD, USA","From late 2014 Socium Marketplace will make shopping for fundamental business services more simple, more cost effective and more about you.",None,4,671,0,2/1/2016 7:37,58,FALSE,51,en,TRUE,,FALSE,FALSE,Keri Nelson,1
4303727112,4303727112,mattlieberisbot,,"Inspired by the smart, funny folks at @replyall and @gimletmedia â€¢ Tweets Monday, Wednesday and Friday â€¢ A bot by @ashur",https://t.co/P1e1o0m4KC,1105,0,16,11/20/2015 18:53,0,FALSE,803,en,TRUE,,FALSE,FALSE,Matt Lieber Is Bot,1
3063139353,3063139353,sc_papers,,,None,35,0,8,2/25/2015 20:11,0,FALSE,736,en,TRUE,,TRUE,FALSE,single cell papers,1
2955142070,2955142070,lucarivera16,"Dublin, United States",Inspiring cooks everywhere since 1956.,None,13,1019,0,1/1/2015 17:44,179,FALSE,207,en,FALSE,,FALSE,FALSE,lucarivera16,1
8.41E+17,8.41E+17,dantheimprover,"Austin, TX","Just a guy trying to do good by telling everyone else to get better,",None,38,287,0,3/13/2017 22:53,3,FALSE,63,en,TRUE,,FALSE,TRUE,dantheimprover,1
2482834658,2482834658,_all_of_us_,in a machine.,bot by @rubicon,None,187,0,19,5/7/2014 22:29,0,FALSE,6068,en,FALSE,,FALSE,FALSE,everything always,1
3333573622,3333573622,KatamariItems,,[Bot rolled up by @BeachEpisode] Cataloguing every item from the Katamari series one at a time.,None,9029,2,92,6/18/2015 22:07,26,FALSE,2719,en,TRUE,,FALSE,FALSE,Katamari Collection,1
2996105102,2996105102,AutophagyPapers,,Twitterbot for #Autophagy papers. Curated by @SoniaHall,None,304,0,18,1/25/2015 17:34,23,FALSE,10745,en,FALSE,,FALSE,FALSE,Autophagy Papers,1
3271095818,3271095818,HSC_papers,,,None,65,3,9,7/7/2015 15:23,0,FALSE,2686,en,TRUE,,FALSE,FALSE,Hematopoiesis,1
