screen_name	bot		screen_name
HoustonPokeMap	1		HoustonPokeMap
kernyeahx	1		kernyeahx
mattlieberisbot	1		mattlieberisbot
sc_papers	1		sc_papers
lucarivera16	1		lucarivera16
dantheimprover	1		dantheimprover
_all_of_us_	1		_all_of_us_
KatamariItems	1		KatamariItems
AutophagyPapers	1		AutophagyPapers
HSC_papers	1		HSC_papers
everycheese	1		everycheese
gyr_papers	1		gyr_papers
lavon_court	1		AjstyleAlen
AjstyleAlen	1		Rupesh93505
Rupesh93505	1		hard_to_yelp
hard_to_yelp	1		fuckeverywordza
fuckeverywordza	1		yeahTonyaGonzal
yeahTonyaGonzal	1		ecin_gnihtaseod
BbbbggU	1		tofu_product
ecin_gnihtaseod	1		onetruewiseman
tofu_product	1		everycolorbot
onetruewiseman	1		himawari8bot
everycolorbot	1		emoji__polls
himawari8bot	1		everytrolltroll
emoji__polls	1		hyphizer
everytrolltroll	1		GreenwadeGema
hyphizer	1		par_papers
GreenwadeGema	1		everyMTGlegend
par_papers	1		assembly_papers
everyMTGlegend	1		DeepDreamThis
assembly_papers	1		baron777111
DeepDreamThis	1		BestOpinionPoll
baron777111	1		dstroyeveryword
BestOpinionPoll	1		917_7513
dstroyeveryword	1		snowcloneminute
917_7513	1		NESGarbageBot
snowcloneminute	1		BklynMuseumBot
NESGarbageBot	1		clitoscope
BklynMuseumBot	1		feud_exe
clitoscope	1		vaporfave
feud_exe	1		peabero89
vaporfave	1		UcOVJ4xlZaGwtKm
peabero89	1		moonmurmur
UcOVJ4xlZaGwtKm	1		AttentiveBot
moonmurmur	1		vocalsvt
AttentiveBot	1		249_4665
vocalsvt	1		Ttimmson74
249_4665	1		LondonPogoMap
Ttimmson74	1		CrisprPhages
LondonPogoMap	1		forestgen
CrisprPhages	1		phy_papers
forestgen	1		rnomics
phy_papers	1		woloshinj_buzz
rnomics	1		DiGRAThemes
woloshinj_buzz	1		Twisted_Maglion
DiGRAThemes	1		shantae_stubby
Twisted_Maglion	1		super_jeopardy
shantae_stubby	1		Speed_1994
super_jeopardy	1		TheUniverse
Speed_1994	1		everywordNYT
TheUniverse	1		Exoriders
everywordNYT	1		onlymanthings
Exoriders	1		maximotxx
onlymanthings	1		violajacobs2414
maximotxx	1		Lake5Media
violajacobs2414	1		crystalliser
Lake5Media	1		SeethingVortex
crystalliser	1		Horse_ebooks
SeethingVortex	1		FMKVote
Horse_ebooks	1		biorxiv_evobio
FMKVote	1		BoazimBot
biorxiv_evobio	1		ClipArtBot
BoazimBot	1		gotogyuterte
ClipArtBot	1		libraryofvivec
gotogyuterte	1		ItMeIRL
libraryofvivec	1		Rober4628
ItMeIRL	1		aura_mazon
Rober4628	1		MBPoGoAlert
aura_mazon	1		tiny_star_field
MBPoGoAlert	1		pentametron
tiny_star_field	1		ArkhamSingles
pentametron	1		NYC_Newswire
ArkhamSingles	1		VegasPokeMap
NYC_Newswire	1		literaldevices
VegasPokeMap	1		emojicheer
literaldevices	1		EuphemismBot
emojicheer	1		NK_papers
EuphemismBot	1		oliviataters
NK_papers	1		QuantomBot
oliviataters	1		zatieot
QuantomBot	1		FreeFlattery
zatieot	1		everyboolean
ADigginsSDN	1		bxv_molbiol
FreeFlattery	1		ColBertStephens
everyboolean	1		scillaria
bxv_molbiol	1		MoskowitzMooney
ColBertStephens	1		threedesert
scillaria	1		IFClueBot
MoskowitzMooney	1		dejiwall
threedesert	1		PokemonGONewsUS
IFClueBot	1		ManoelaBeta7
dejiwall	1		TahoeChains
PokemonGONewsUS	1		Every3Minutes
ManoelaBeta7	1		Anuroopjr
TahoeChains	1		ursulaflanagan
Every3Minutes	1		jowueob20
Anuroopjr	1		quitoehck27
ursulaflanagan	1		HAroldbtmeme28
jowueob20	1		katharyns25
quitoehck27	1		hakusongs
HAroldbtmeme28	1		thewillthewisp
katharyns25	1		living_newyork
hakusongs	1		soamazingquote
thewillthewisp	1		loriwcute
living_newyork	1		trinityadam
soamazingquote	1		regurol1994
loriwcute	1		Cardinal_Fang
trinityadam	1		RACQUELW86
regurol1994	1		plzrevisit
Cardinal_Fang	1		dailymoist
RACQUELW86	1		killcodes
plzrevisit	1		_emo_ji
dailymoist	1		SadisticMedic_
killcodes	1		prix_fixe_exe
_emo_ji	1		evoldir
SadisticMedic_	1		_grammar_
prix_fixe_exe	1		itsavailable
evoldir	1		everyletterbot
_grammar_	1		PressXToBot
itsavailable	1		julissaf93
everyletterbot	1		IFinspiration
PressXToBot	1		taehyungirl30
julissaf93	1		MagicRealismBot
IFinspiration	1		EpicSGPokemon
taehyungirl30	1		pops131
MagicRealismBot	1		ScottalenLeeRo1
EpicSGPokemon	1		face_withface
pops131	1		lvnt2000
ScottalenLeeRo1	1		McdanielArmijo
face_withface	1		all_in_cards
lvnt2000	1		autocompletejok
McdanielArmijo	1		FalalalaBot
all_in_cards	1		msxs_2016
autocompletejok	1		harmonsway1013
FalalalaBot	1		CTCF_Papers
msxs_2016	1		2noob2btrue
harmonsway1013	1		virus_genome
CTCF_Papers	1		fitzpatrickmen4
2noob2btrue	1		MetaphorMagnet
virus_genome	1		imtherealdontai
fitzpatrickmen4	1		everygothcolor
MetaphorMagnet	1		lillyb121
imtherealdontai	1		best_tv_recaps
everygothcolor	1		Nucleosome_Bot
lillyb121	1		KathlenelTloi
best_tv_recaps	1		NArcisal20
Nucleosome_Bot	1		PentatonicBot
KathlenelTloi	1		biorxiv_micrbio
NArcisal20	1		crossword_regex
PentatonicBot	1		think_i_do
biorxiv_micrbio	1		wowwwrude
crossword_regex	1		angrystepparent
think_i_do	1		TavernOfMirth
wowwwrude	1		voasekuck87
angrystepparent	1		hihiCherylsC
TavernOfMirth	1		everywordcup
voasekuck87	1		tcellbiology
hihiCherylsC	1		JargonTron
everywordcup	1		MuscleStemCell
tcellbiology	1		botechre
JargonTron	1		sjuworkerr
MuscleStemCell	1		MIlissawhihix
botechre	1		biorxiv_biophys
sjuworkerr	1		Bedr0ckLearning
MIlissawhihix	1		AwfulEmoji
biorxiv_biophys	1		twoemoji
Bedr0ckLearning	1		everynerd
AwfulEmoji	1		vuguiwi1991
twoemoji	1		TumorImm_papers
everynerd	1		donalddrumpfbot
vuguiwi1991	1		janine_baradi
TumorImm_papers	1		attribot
donalddrumpfbot	1		baaldraavers
janine_baradi	1		MOF_papers
attribot	1		Anthonyswag18
baaldraavers	1		poll_test
MOF_papers	1		zorak_ebooks
kateware9733	1		Bot_Nohomo
Anthonyswag18	1		JeseniaT16
poll_test	1		Kozzzy24
zorak_ebooks	1		riverlevel_1867
Bot_Nohomo	1		re3makes
JeseniaT16	1		SpellerBot
Kozzzy24	1		BletchleyRoll
riverlevel_1867	1		fastsamueldwrig
re3makes	1		RootPapers
SpellerBot	1		weatherlies_bot
BletchleyRoll	1		Victoriaavell11
fastsamueldwrig	1		DJ_EBOOKS
RootPapers	1		Popgen_Papers
weatherlies_bot	1		AskAndAnswerBot
Victoriaavell11	1		jakeuip27
DJ_EBOOKS	1		tylerstacos_
Popgen_Papers	1		2UvyAyaFb5jpLby
AskAndAnswerBot	1		Botgle
jakeuip27	1		hotelbotai
tylerstacos_	1		TysonFosterz
2UvyAyaFb5jpLby	1		AutoVids
Botgle	1		ParrotFlaubert
hotelbotai	1		bidoof_bot
TysonFosterz	1		butt_things
AutoVids	1		moajaqind1982
ParrotFlaubert	1		riuleew83
bidoof_bot	1		preprints_metab
butt_things	1		valid9tion
moajaqind1982	1		litts_mccarlie
riuleew83	1		SunsetGenerator
preprints_metab	1		peawme
valid9tion	1		Jacktheboss434
litts_mccarlie	1		buzarun
SunsetGenerator	1		DPLAbot
peawme	1		i_akari_daisuki
Jacktheboss434	1		wowwwiftrue
bangbangarix12	1		gloster_tilda
buzarun	1		buoypix
DPLAbot	1		MusicmakerBot
i_akari_daisuki	1		erowidrecruiter
wowwwiftrue	1		TVCommentBot
gloster_tilda	1		arXiv_grqc
buoypix	1		allnothings
MusicmakerBot	1		pkmn_bonsai
erowidrecruiter	1		memcached_magic
TVCommentBot	1		elmerw28
arXiv_grqc	1		PriceOfDogecoin
allnothings	1		chicknolapowell
pkmn_bonsai	1		meua_lee
memcached_magic	1		a_travel_bot
elmerw28	1		MAmuamunt
PriceOfDogecoin	1		wordisaprison
chicknolapowell	1		selfportraitexe
meua_lee	1		TermsofSbot
a_travel_bot	1		walenar21
MAmuamunt	1		pseudo_papers
wordisaprison	1		lncRNA_papers
selfportraitexe	1		Now_Boobs
TermsofSbot	1		snailsnake
walenar21	1		duane_persaud
pseudo_papers	1		ValentinoBot
lncRNA_papers	1		relations_js
Now_Boobs	1		bandname_exe
snailsnake	1		LoremipsumBot
duane_persaud	1		genie_nelson
ValentinoBot	1		ManyJams
relations_js	1		Marquis_Turnerx
bandname_exe	1		katheyp27
LoremipsumBot	1		mozerablebot
genie_nelson	1		LitOffLanterns
ManyJams	1		oiledits
Marquis_Turnerx	1		BeaHgiant
katheyp27	1		GrantsBotGov
mozerablebot	1		mcgucket_bot
LitOffLanterns	1		BowieK66
oiledits	1		ducknoteprice
BeaHgiant	1		robotrecipes
GrantsBotGov	1		everyumlaut
mcgucket_bot	1		glossatory
BowieK66	1		Fancypants6047
ducknoteprice	1		Hedgehogize
robotrecipes	1		jamieph93986621
everyumlaut	1		NothemDonella
glossatory	1		pony_strategies
Fancypants6047	1		imgconvos
Hedgehogize	1		StobbeKindra
jamieph93986621	1		cgagraphics
NothemDonella	1		ngthaohuong97
pony_strategies	1		m_h_nishimura
imgconvos	1		TheYearofLuigi
StobbeKindra	1		litpatches_txt
cgagraphics	1		everysimile
ngthaohuong97	1		J_C_Christensen
m_h_nishimura	1		lenirvana666
TheYearofLuigi	1		DrPhilRx
litpatches_txt	1		DivinaCooperi
everysimile	1		libraryofemoji
J_C_Christensen	1		wrap_papers
lenirvana666	1		BloombrgNewsish
DrPhilRx	1		OliverBarkBark
DivinaCooperi	1		jargotron
libraryofemoji	1		Games4Grownups
wrap_papers	1		Lowpolybot
BloombrgNewsish	1		2blessed_exe
OliverBarkBark	1		poem_exe
jargotron	1		HigherEdSurge
Games4Grownups	1		GUNNERCARTERXX
Lowpolybot	1		myah581
2blessed_exe	1		starnearyou
poem_exe	1		wayback_exe
HigherEdSurge	1		wutahiq19
GUNNERCARTERXX	1		OldLSystemBot
myah581	1		low_battery_tho
starnearyou	1		yeahashleyrober
wayback_exe	1		WonderWoman0716
wutahiq19	1		faq_walkthrough
OldLSystemBot	1		AutoNetflix
low_battery_tho	1		FeinmanAltha
yeahashleyrober	1		VoynichTechNews
WonderWoman0716	1		xx5sosvines01
faq_walkthrough	1		throam_bot
AutoNetflix	1		NMBPoGoAlert
FeinmanAltha	1		ButtlawMcButt
VoynichTechNews	1		GilgameshTweets
xx5sosvines01	1		dronesweetie
throam_bot	1		PenryParmelee
NMBPoGoAlert	1		altagraciao86
ButtlawMcButt	1		bookonbalcony
GilgameshTweets	1		SuperbOwl3000
dronesweetie	1		ARealRiver
PenryParmelee	1		tiny_astro_naut
altagraciao86	1		ceubehen
bookonbalcony	1		ljw269
SuperbOwl3000	1		marcelinep16
ARealRiver	1		epigen_papers
tiny_astro_naut	1		tardygram
ceubehen	1		SharksOnCouches
ljw269	1		LucileRobertsa
armspirits	1		SylverBot
marcelinep16	1		adventvrecall
epigen_papers	1		greatartbot
tardygram	1		dtufreak
SharksOnCouches	1		patrinafbryantz
LucileRobertsa	1		bot_things
SylverBot	1		MuzeumBot
adventvrecall	1		fantasy_florist
greatartbot	1		hypoxiapapers
dtufreak	1		netflixtaglines
patrinafbryantz	1		MythologyBot
bot_things	1		THMarcella
MuzeumBot	1		themetgallery
fantasy_florist	1		FFD8FFDB
hypoxiapapers	1		DuniaOnePiece
MysteriousW0rld	1		wz77
netflixtaglines	1		scell_papers
MythologyBot	1		WizardGenerator
THMarcella	1		bouquetbot
themetgallery	1		astronaut_bot
FFD8FFDB	1		censusAmericans
DuniaOnePiece	1		tibbits_marcus
wz77	1		3461holley
scell_papers	1		isu_bot2_fs
