screen_name,entities-hashtags,entities-url,source_url,geo,coordinates
__keating,[],"[{'url': 'https://t.co/VfXX2FflX5', 'expanded_url': 'https://twitter.com/i/web/status/858085365982388224', 'display_url': 'twitter.com/i/web/status/8…', 'indices': [117, 140]}]",https://about.twitter.com/products/tweetdeck,None,None
_callme_Dani,[],[],https://about.twitter.com/products/tweetdeck,None,None
_little_britt_,[],"[{'url': 'https://t.co/GHPAdHEPVP', 'expanded_url': 'https://youtu.be/ZCOgHA0jU80', 'display_url': 'youtu.be/ZCOgHA0jU80', 'indices': [101, 124]}]",http://twitter.com/download/iphone,None,None
134k5,[],"[{'url': 'https://t.co/ihcFHtAHqL', 'expanded_url': 'https://www.buzzfeed.com/keigoisashi/tom-0816', 'display_url': 'buzzfeed.com/keigoisashi/to…', 'indices': [57, 80]}]",http://twitter.com,None,None
2181chrom_bot,[],[],http://twpf.jp/2181chrom_bot,None,None
2LA1R_bot,[],[],http://twittbot.net/,None,None
3pei_bot,[],[],http://twpf.jp/3pei_bot,None,None
94kichi_bot,[],[],http://twittbot.net/,None,None
A3_Dekasegi_bot,[],[],http://twittbot.net/,None,None
aamir_khan,[],[],http://twitter.com,None,None
AceWallpaperBot,[],"[{'url': 'https://t.co/cVelEgLY4W', 'expanded_url': 'http://www.pixiv.net/member_illust.php?mode=medium&illust_id=50368998', 'display_url': 'pixiv.net/member_illust.…', 'indices': [28, 51]}]",https://github.com/ace3df/AcePictureBot,None,None
acormier_bzfd,"[{'text': 'NetNeutrality', 'indices': [42, 56]}]","[{'url': 'https://t.co/IGXL9P6RO2', 'expanded_url': 'https://twitter.com/stevenrenderos/status/857305260867571712', 'display_url': 'twitter.com/stevenrenderos…', 'indices': [57, 80]}]",http://twitter.com/download/iphone,None,None
ActuallyNPH,[],"[{'url': 'https://t.co/Hl1NNqEw1X', 'expanded_url': 'https://twitter.com/i/web/status/858743549281452032', 'display_url': 'twitter.com/i/web/status/8…', 'indices': [117, 140]}]",http://twitter.com/download/iphone,None,None
Adele,"[{'text': 'W4Water', 'indices': [0, 8]}]","[{'url': 'https://t.co/W5570kii0M', 'expanded_url': 'https://twitter.com/i/web/status/844477332693897216', 'display_url': 'twitter.com/i/web/status/8…', 'indices': [117, 140]}]",http://twitter.com/download/iphone,None,None
aflores,[],[],http://twitter.com/download/iphone,None,None
agnezmo,"[{'text': 'AGNEZMO', 'indices': [21, 29]}, {'text': 'Bakerlund', 'indices': [32, 42]}]","[{'url': 'https://t.co/xQQ4c8lZuz', 'expanded_url': 'https://twitter.com/BAkerlund/status/857019814971293696', 'display_url': 'twitter.com/BAkerlund/stat…', 'indices': [43, 66]}]",http://twitter.com/download/android,None,None
Agostinozoida,[],[],http://twitter.com/download/iphone,None,None
AhmedBharoocha,[],[],http://twitter.com/download/iphone,None,None
aho_levi_bot,[],[],https://twitter.com/aho_levi_bot,None,None
aiomacbot,[],[],http://twitter.com/download/iphone,None,None
akshaykumar,[],"[{'url': 'https://t.co/zUu1fAcO1r', 'expanded_url': 'https://twitter.com/i/web/status/858590296195477505', 'display_url': 'twitter.com/i/web/status/8…', 'indices': [117, 140]}]",http://twitter.com/download/iphone,None,None
AlannaBennett,[],[],http://twitter.com,None,None
AlArabiya_Brk,"[{'text': 'السعودية', 'indices': [0, 9]}, {'text': 'رؤية_2030', 'indices': [38, 48]}, {'text': 'العربية_عاجل', 'indices': [63, 76]}]",[],https://www.alarabiya.net,None,None
AlejandroSanz,[],"[{'url': 'https://t.co/3K5HjER7EZ', 'expanded_url': 'https://twitter.com/antoniorozco/status/858805597969551360', 'display_url': 'twitter.com/antoniorozco/s…', 'indices': [27, 50]}]",http://twitter.com/download/iphone,None,None
alexis_levinson,[],"[{'url': 'https://t.co/A9thmOSjKo', 'expanded_url': 'http://hrld.us/2pxI6Jh', 'display_url': 'hrld.us/2pxI6Jh', 'indices': [96, 119]}]",http://twitter.com/download/iphone,None,None
alexorrico,[],[],http://twitter.com,None,None
aliciakeys,"[{'text': 'RockHall2017', 'indices': [84, 97]}]","[{'url': 'https://t.co/Tj3A8VFBI8', 'expanded_url': 'https://twitter.com/i/web/status/858402597652267009', 'display_url': 'twitter.com/i/web/status/8…', 'indices': [120, 143]}]",http://twitter.com,None,None
AliWatkins,[],[],http://twitter.com/download/iphone,None,None
alysonrmartin,"[{'text': 'SABEW17', 'indices': [44, 52]}]","[{'url': 'https://t.co/i9iDgPvD8q', 'expanded_url': 'https://twitter.com/NushinRashidian/status/858431363103342592', 'display_url': 'twitter.com/NushinRashidia…', 'indices': [53, 76]}]",http://twitter.com/download/android,None,None
amyschumer,"[{'text': 'StrengthofaWoman', 'indices': [56, 73]}]",[],http://twitter.com,None,None
AnkhBot,"[{'text': 'AnkhBot', 'indices': [1, 9]}]","[{'url': 'https://t.co/WqtN1Tc6oU', 'expanded_url': 'http://www.ankhbot.com/changelog/', 'display_url': 'ankhbot.com/changelog/', 'indices': [70, 93]}]",http://twitter.com,None,None
