Screen name,Class
@StanBieberfan,Bot
@dronesweetie,Bot
@reverseocr,Bot
@zak123,Human
@redbox_bot,Bot
@netflix_bot,Bot
@boy2bot,Bot
@rainshapes,Human
@labnol,Human
@nikhil_shirsath,Human
@virendersehwag,Human
@JustToSayBot,Bot
@hyojoo22_b,Bot
@mechanicaltrump,Bot
@fuckeveryword,Bot
@portmanteau_bot,Bot
@BloombrgNewsish,Bot
@big_ben_clock,Bot
@Mohanlal,Human
@AutoCharts,Bot
@FavThingsBot,Bot
@_RememberBot_,Bot
@rogercores,Human
@DannyDevitoBot,Bot
@Diadiadiabot,Bot
@thegrugq_ebooks,Bot
@CapsCop,Bot
@jerkomatic,Bot
@JustDiedBot,Bot
@infinitedeserts,Bot
@riverlevel_1867,Bot
@Betelgeuse_3,Bot
@congressedits,Bot
@AllOilPainting,Bot
@RedScareBot,Bot
@RanveerOfficial,Human
@_naveen07,Human
@VegetaHaritha,Human
@LynDesuu,Bot
@DenverBot,Bot
@OrovilleDamBot,Bot
@BotDotSleep,Bot
@PuggoBot,Bot
@DearAssistant,Bot
@karliekloss,Human
@Stl_Manifest,Bot
@fullmetaliberty,Bot
@TheAlotShepherd,Bot
@DeepDreamThis,Bot
@attribot,Bot
@Roboraper,Bot
@POLICECOPTER,Bot
@BasilFawltyBot,Bot
@SnoopFather,Bot
@itsspeltcaesar,Bot
@Jestly,Bot
@garry12gg,Bot
@mylife,Bot
@pixelsorter,Bot
@a_quilt_bot,Bot
@aca5057e05a441a,Human
@sardesairajdeep,Human
@yashpchhajed,Human
@MayantiLanger_B,Human
@AmitabhB01,Human
@AROD,Human
@JaviTaughtMe,Human
@TonySinanis,Human
@smritiirani,Human
@djkhaled,Human
@bradgro,Human
@NitikaChopra,Human
@colleddy,Human
@ZaynForHero,Human
@jeffhalevy,Human
@azmesq,Human
@WeinsteinFilm,Human
@FightOwensFight,Human
@WWEDanielBryan,Human
@TheRock,Human
@mikethemiz,Human
@TrueKofi,Human
@noelcamille,Human
@knowkenny,Human
@DontTweetNo,Human
@matshummels,Human
@AanchalBhojwani,Human
@whovaibhavt10,Human
@KapilSharmaK9,Human
@karanjohar,Human
@Salilacharya,Human
@Finelychopped,Human
@sonakshisinha,Human
@Sonali_5,Human
@RealHughJackman,Human
@iHrithik,Human
@Omnisek,Human
@Amenphoenix,Human
@ginagaylol,Human
@AwlTags,Bot
