id,id_str,screen_name,location,description,url,followers_count,friends_count,listed_count,created_at,favourites_count,verified,statuses_count,lang,default_profile,status,default_profile_image,has_extended_profile,name,bot,desc_bot,Age
3982731976,3982731976,mcgucket_bot,,A bot that tweets every line said by Fiddleford McGucket on Gravity Falls every 30 minutes.,None,1142,7,2,10/17/2015 22:35,0,FALSE,24765,en,FALSE,"Status(_api=<tweepy.api.API object at 0x118029518>, _json={'created_at': 'Sat Apr 08 01:42:04 +0000 2017', 'id': 850524109737820160, 'id_str': '850524109737820160', 'text': 'Free meal...', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, 'source': '<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'lang': 'en'}, created_at=datetime.datetime(2017, 4, 8, 1, 42, 4), id=850524109737820160, id_str='850524109737820160', text='Free meal...', truncated=False, entities={'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, source='twittbot.net', source_url='http://twittbot.net/', in_reply_to_status_id=None, in_reply_to_status_id_str=None, in_reply_to_user_id=None, in_reply_to_user_id_str=None, in_reply_to_screen_name=None, geo=None, coordinates=None, place=None, contributors=None, is_quote_status=False, retweet_count=0, favorite_count=0, favorited=False, retweeted=False, lang='en')",FALSE,FALSE,McGucket bot,1,1,538
8.41E+17,8.41E+17,BowieK66,,,None,0,22,0,3/13/2017 22:21,0,FALSE,1,en,TRUE,"Status(_api=<tweepy.api.API object at 0x118029518>, _json={'created_at': 'Mon Mar 13 22:35:37 +0000 2017', 'id': 841417491268145152, 'id_str': '841417491268145152', 'text': '@FoxNews @BretBaier @SpeakerRyan', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FoxNews', 'name': 'Fox News', 'id': 1367531, 'id_str': '1367531', 'indices': [0, 8]}, {'screen_name': 'BretBaier', 'name': 'Bret Baier', 'id': 18646108, 'id_str': '18646108', 'indices': [9, 19]}, {'screen_name': 'SpeakerRyan', 'name': 'Paul Ryan', 'id': 18916432, 'id_str': '18916432', 'indices': [20, 32]}], 'urls': []}, 'source': '<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', 'in_reply_to_status_id': 841416447494508544, 'in_reply_to_status_id_str': '841416447494508544', 'in_reply_to_user_id': 1367531, 'in_reply_to_user_id_str': '1367531', 'in_reply_to_screen_name': 'FoxNews', 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'lang': 'und'}, created_at=datetime.datetime(2017, 3, 13, 22, 35, 37), id=841417491268145152, id_str='841417491268145152', text='@FoxNews @BretBaier @SpeakerRyan', truncated=False, entities={'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FoxNews', 'name': 'Fox News', 'id': 1367531, 'id_str': '1367531', 'indices': [0, 8]}, {'screen_name': 'BretBaier', 'name': 'Bret Baier', 'id': 18646108, 'id_str': '18646108', 'indices': [9, 19]}, {'screen_name': 'SpeakerRyan', 'name': 'Paul Ryan', 'id': 18916432, 'id_str': '18916432', 'indices': [20, 32]}], 'urls': []}, source='Twitter for Android', source_url='http://twitter.com/download/android', in_reply_to_status_id=841416447494508544, in_reply_to_status_id_str='841416447494508544', in_reply_to_user_id=1367531, in_reply_to_user_id_str='1367531', in_reply_to_screen_name='FoxNews', geo=None, coordinates=None, place=None, contributors=None, is_quote_status=False, retweet_count=0, favorite_count=0, favorited=False, retweeted=False, lang='und')",TRUE,FALSE,MJ Kuhn,1,0,25
2768374981,2768374981,ducknoteprice,,,None,3,0,3,8/25/2014 23:17,0,FALSE,1050,en,TRUE,"Status(_api=<tweepy.api.API object at 0x118029518>, _json={'created_at': 'Fri Feb 26 17:01:15 +0000 2016', 'id': 703263569035526146, 'id_str': '703263569035526146', 'text': 'The average price of duckNote across all exchanges is 0.000085 USD', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, 'source': '<a href=""http://l50.co/cryptobot"" rel=""nofollow"">Ducknote Price</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'lang': 'en'}, created_at=datetime.datetime(2016, 2, 26, 17, 1, 15), id=703263569035526146, id_str='703263569035526146', text='The average price of duckNote across all exchanges is 0.000085 USD', truncated=False, entities={'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, source='Ducknote Price', source_url='http://l50.co/cryptobot', in_reply_to_status_id=None, in_reply_to_status_id_str=None, in_reply_to_user_id=None, in_reply_to_user_id_str=None, in_reply_to_screen_name=None, geo=None, coordinates=None, place=None, contributors=None, is_quote_status=False, retweet_count=0, favorite_count=0, favorited=False, retweeted=False, lang='en')",FALSE,FALSE,duckNote,1,0,956
3304189373,3304189373,robotrecipes,robot kitchen,tasty recipes for robot // not for human // a bot by @inky (human) // source: https://t.co/3SFVj3be16,http://t.co/PdagJGqVMR,550,13,52,5/30/2015 23:42,0,FALSE,5319,en,FALSE,"Status(_api=<tweepy.api.API object at 0x118029518>, _json={'created_at': 'Sat Apr 08 00:35:11 +0000 2017', 'id': 850507280315502593, 'id_str': '850507280315502593', 'text': 'Fig Samarium: Blend foam peanut with deep house. Top with osmium.', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, 'source': '<a href=""http://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'lang': 'en'}, created_at=datetime.datetime(2017, 4, 8, 0, 35, 11), id=850507280315502593, id_str='850507280315502593', text='Fig Samarium: Blend foam peanut with deep house. Top with osmium.', truncated=False, entities={'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, source='Cheap Bots, Done Quick!', source_url='http://cheapbotsdonequick.com', in_reply_to_status_id=None, in_reply_to_status_id_str=None, in_reply_to_user_id=None, in_reply_to_user_id_str=None, in_reply_to_screen_name=None, geo=None, coordinates=None, place=None, contributors=None, is_quote_status=False, retweet_count=0, favorite_count=0, favorited=False, retweeted=False, lang='en')",FALSE,FALSE,robot recipes,1,1,678
3224289024,3224289024,everyumlaut,,bot by @dbaker_h,None,16,0,11,5/23/2015 14:39,0,FALSE,32624,en-gb,TRUE,"Status(_api=<tweepy.api.API object at 0x118029518>, _json={'created_at': 'Sat Apr 08 02:00:02 +0000 2017', 'id': 850528629662535680, 'id_str': '850528629662535680', 'text': '’âsÕ_pÕ_’_dÕ_rÕ_’ÀlÕ_lÕ_’âsÕ_', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, 'source': '<a href=""https://twitter.com/everyumlaut"" rel=""nofollow"">everyumlaut</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'lang': 'in'}, created_at=datetime.datetime(2017, 4, 8, 2, 0, 2), id=850528629662535680, id_str='850528629662535680', text='’âsÕ_pÕ_’_dÕ_rÕ_’ÀlÕ_lÕ_’âsÕ_', truncated=False, entities={'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, source='everyumlaut', source_url='https://twitter.com/everyumlaut', in_reply_to_status_id=None, in_reply_to_status_id_str=None, in_reply_to_user_id=None, in_reply_to_user_id_str=None, in_reply_to_screen_name=None, geo=None, coordinates=None, place=None, contributors=None, is_quote_status=False, retweet_count=0, favorite_count=0, favorited=False, retweeted=False, lang='in')",FALSE,FALSE,’âv’âr’è ’_ml’_’_ˆ_ã,1,1,686
7.30E+17,7.30E+17,glossatory,Australah,SOCIAL ON GLOSSATORY: the branch of the considered addered poker by looses - a bot by @bombinans,https://t.co/hcUNcUdlcq,20,1,4,5/11/2016 5:45,0,FALSE,1965,en,FALSE,"Status(_api=<tweepy.api.API object at 0x118029518>, _json={'created_at': 'Sat Apr 08 01:38:19 +0000 2017', 'id': 850523167147687936, 'id_str': '850523167147687936', 'text': 'PREFECTION: the activity of articles or sleepers in the spots', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, 'source': '<a href=""http://mikelynch.org/category/bots"" rel=""nofollow"">Glossatory</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'lang': 'en'}, created_at=datetime.datetime(2017, 4, 8, 1, 38, 19), id=850523167147687936, id_str='850523167147687936', text='PREFECTION: the activity of articles or sleepers in the spots', truncated=False, entities={'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, source='Glossatory', source_url='http://mikelynch.org/category/bots', in_reply_to_status_id=None, in_reply_to_status_id_str=None, in_reply_to_user_id=None, in_reply_to_user_id_str=None, in_reply_to_screen_name=None, geo=None, coordinates=None, place=None, contributors=None, is_quote_status=False, retweet_count=0, favorite_count=0, favorited=False, retweeted=False, lang='en')",FALSE,FALSE,GLOSSATORY,1,1,332
8.20E+17,8.20E+17,Fancypants6047,vancouver,,None,48,392,0,1/13/2017 19:37,3,FALSE,4,en,TRUE,"Status(_api=<tweepy.api.API object at 0x118029518>, _json={'created_at': 'Thu Mar 09 05:51:26 +0000 2017', 'id': 839715231282655233, 'id_str': '839715231282655233', 'text': '@VPeur  Hey quand y le beau temps arrive...tite frette\n sur y=une terasse ?', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'VPeur', 'name': 'David Bujold', 'id': 839175258242437124, 'id_str': '839175258242437124', 'indices': [0, 6]}], 'urls': []}, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': 839175258242437124, 'in_reply_to_user_id_str': '839175258242437124', 'in_reply_to_screen_name': 'VPeur', 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 3, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'lang': 'fr'}, created_at=datetime.datetime(2017, 3, 9, 5, 51, 26), id=839715231282655233, id_str='839715231282655233', text='@VPeur  Hey quand y le beau temps arrive...tite frette\n sur y=une terasse ?', truncated=False, entities={'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'VPeur', 'name': 'David Bujold', 'id': 839175258242437124, 'id_str': '839175258242437124', 'indices': [0, 6]}], 'urls': []}, source='Twitter Web Client', source_url='http://twitter.com', in_reply_to_status_id=None, in_reply_to_status_id_str=None, in_reply_to_user_id=839175258242437124, in_reply_to_user_id_str='839175258242437124', in_reply_to_screen_name='VPeur', geo=None, coordinates=None, place=None, contributors=None, is_quote_status=False, retweet_count=3, favorite_count=0, favorited=False, retweeted=False, lang='fr')",FALSE,TRUE,Fancypants,1,0,85
2602217174,2602217174,Hedgehogize,Moebius,@Hedgehogize me or @Hedgehogize NAME to unlock your Sonic fursona. EXACT COMMANDS ONLY. Frequently throttled or banned. Botta Go Fast! By @avestal.,http://t.co/a1UvEiAl3u,551,369,12,7/3/2014 20:37,12,FALSE,4671,en,FALSE,"Status(_api=<tweepy.api.API object at 0x118029518>, _json={'created_at': 'Thu Mar 30 02:47:05 +0000 2017', 'id': 847278983439720448, 'id_str': '847278983439720448', 'text': '@poshisjarker So cool. Josh the Hedgehog is totally COOL!! https://t.co/Tg4GlCUjYU', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'poshisjarker', 'name': 'Josh Parker', 'id': 1051949989, 'id_str': '1051949989', 'indices': [0, 13]}], 'urls': [], 'media': [{'id': 847278981694930946, 'id_str': '847278981694930946', 'indices': [59, 82], 'media_url': 'http://pbs.twimg.com/media/C8IjvqmUwAI5JlK.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C8IjvqmUwAI5JlK.jpg', 'url': 'https://t.co/Tg4GlCUjYU', 'display_url': 'pic.twitter.com/Tg4GlCUjYU', 'expanded_url': 'https://twitter.com/Hedgehogize/status/847278983439720448/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 800, 'h': 667, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 567, 'resize': 'fit'}, 'large': {'w': 800, 'h': 667, 'resize': 'fit'}}}]}, 'extended_entities': {'media': [{'id': 847278981694930946, 'id_str': '847278981694930946', 'indices': [59, 82], 'media_url': 'http://pbs.twimg.com/media/C8IjvqmUwAI5JlK.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C8IjvqmUwAI5JlK.jpg', 'url': 'https://t.co/Tg4GlCUjYU', 'display_url': 'pic.twitter.com/Tg4GlCUjYU', 'expanded_url': 'https://twitter.com/Hedgehogize/status/847278983439720448/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 800, 'h': 667, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 567, 'resize': 'fit'}, 'large': {'w': 800, 'h': 667, 'resize': 'fit'}}}]}, 'source': '<a href=""http://deviantart.net"" rel=""nofollow"">Hedgehogize</a>', 'in_reply_to_status_id': 847278936090320896, 'in_reply_to_status_id_str': '847278936090320896', 'in_reply_to_user_id': 1051949989, 'in_reply_to_user_id_str': '1051949989', 'in_reply_to_screen_name': 'poshisjarker', 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 1, 'favorite_count': 3, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}, created_at=datetime.datetime(2017, 3, 30, 2, 47, 5), id=847278983439720448, id_str='847278983439720448', text='@poshisjarker So cool. Josh the Hedgehog is totally COOL!! https://t.co/Tg4GlCUjYU', truncated=False, entities={'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'poshisjarker', 'name': 'Josh Parker', 'id': 1051949989, 'id_str': '1051949989', 'indices': [0, 13]}], 'urls': [], 'media': [{'id': 847278981694930946, 'id_str': '847278981694930946', 'indices': [59, 82], 'media_url': 'http://pbs.twimg.com/media/C8IjvqmUwAI5JlK.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C8IjvqmUwAI5JlK.jpg', 'url': 'https://t.co/Tg4GlCUjYU', 'display_url': 'pic.twitter.com/Tg4GlCUjYU', 'expanded_url': 'https://twitter.com/Hedgehogize/status/847278983439720448/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 800, 'h': 667, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 567, 'resize': 'fit'}, 'large': {'w': 800, 'h': 667, 'resize': 'fit'}}}]}, extended_entities={'media': [{'id': 847278981694930946, 'id_str': '847278981694930946', 'indices': [59, 82], 'media_url': 'http://pbs.twimg.com/media/C8IjvqmUwAI5JlK.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C8IjvqmUwAI5JlK.jpg', 'url': 'https://t.co/Tg4GlCUjYU', 'display_url': 'pic.twitter.com/Tg4GlCUjYU', 'expanded_url': 'https://twitter.com/Hedgehogize/status/847278983439720448/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 800, 'h': 667, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 567, 'resize': 'fit'}, 'large': {'w': 800, 'h': 667, 'resize': 'fit'}}}]}, source='Hedgehogize', source_url='http://deviantart.net', in_reply_to_status_id=847278936090320896, in_reply_to_status_id_str='847278936090320896', in_reply_to_user_id=1051949989, in_reply_to_user_id_str='1051949989', in_reply_to_screen_name='poshisjarker', geo=None, coordinates=None, place=None, contributors=None, is_quote_status=False, retweet_count=1, favorite_count=3, favorited=False, retweeted=False, possibly_sensitive=False, lang='en')",FALSE,FALSE,YOU the Hedgehog,1,0,1010
8.33E+17,8.33E+17,jamieph93986621,,"I wasn't bor ysterday,  was born tomorrow",None,1,55,0,2/19/2017 3:47,0,FALSE,12,en,TRUE,"Status(_api=<tweepy.api.API object at 0x118029518>, _json={'created_at': 'Mon Mar 13 21:24:42 +0000 2017', 'id': 841399643078578177, 'id_str': '841399643078578177', 'text': ""iSLAM'ó±n ’öEHRESóç lekelenecekti."", 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, 'source': '<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 2, 'favorite_count': 1, 'favorited': False, 'retweeted': False, 'lang': 'tr'}, created_at=datetime.datetime(2017, 3, 13, 21, 24, 42), id=841399643078578177, id_str='841399643078578177', text=""iSLAM'ó±n ’öEHRESóç lekelenecekti."", truncated=False, entities={'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, source='Twitter for Android', source_url='http://twitter.com/download/android', in_reply_to_status_id=None, in_reply_to_status_id_str=None, in_reply_to_user_id=None, in_reply_to_user_id_str=None, in_reply_to_screen_name=None, geo=None, coordinates=None, place=None, contributors=None, is_quote_status=False, retweet_count=2, favorite_count=1, favorited=False, retweeted=False, lang='tr')",FALSE,FALSE,Jamie Phillips,1,0,48
8.25E+17,8.25E+17,NothemDonella,,Your diac No,None,1,40,4,1/27/2017 15:51,66,FALSE,127,en,TRUE,"Status(_api=<tweepy.api.API object at 0x118029518>, _json={'created_at': 'Tue Mar 14 09:07:56 +0000 2017', 'id': 841576621500911616, 'id_str': '841576621500911616', 'text': 'RT @SbatSports: _™–¢ _™ö_™Ž CHELTENHAM DAY 1 TIPS _™ö_™Ž_™–¢\n\n_™ö The NAP\n\n_™ö The NB\n\n_™ö 4 Cards\n\n_™ö Lucky 15\n\n_™ö Win and Each Way double\n\nŠ__´Ù https://t.co/8iTlŠ—_', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SbatSports', 'name': 'SBAT', 'id': 2354786918, 'id_str': '2354786918', 'indices': [3, 14]}], 'urls': []}, 'source': '<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'retweeted_status': {'created_at': 'Tue Mar 14 08:21:45 +0000 2017', 'id': 841564995561369600, 'id_str': '841564995561369600', 'text': '_™–¢ _™ö_™Ž CHELTENHAM DAY 1 TIPS _™ö_™Ž_™–¢\n\n_™ö The NAP\n\n_™ö The NB\n\n_™ö 4 Cards\n\n_™ö Lucky 15\n\n_™ö Win and Each Way double\n\nŠ__´Ù https://t.co/8iTlsinZi3', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/8iTlsinZi3', 'expanded_url': 'https://www.sbat.com/tips/todays-free-horse-racing-tips', 'display_url': 'sbat.com/tips/todays-frŠ—_', 'indices': [106, 129]}]}, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 1469, 'favorite_count': 48, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}, 'is_quote_status': False, 'retweet_count': 1469, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'lang': 'en'}, created_at=datetime.datetime(2017, 3, 14, 9, 7, 56), id=841576621500911616, id_str='841576621500911616', text='RT @SbatSports: _™–¢ _™ö_™Ž CHELTENHAM DAY 1 TIPS _™ö_™Ž_™–¢\n\n_™ö The NAP\n\n_™ö The NB\n\n_™ö 4 Cards\n\n_™ö Lucky 15\n\n_™ö Win and Each Way double\n\nŠ__´Ù https://t.co/8iTlŠ—_', truncated=False, entities={'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SbatSports', 'name': 'SBAT', 'id': 2354786918, 'id_str': '2354786918', 'indices': [3, 14]}], 'urls': []}, source='Twitter for Android', source_url='http://twitter.com/download/android', in_reply_to_status_id=None, in_reply_to_status_id_str=None, in_reply_to_user_id=None, in_reply_to_user_id_str=None, in_reply_to_screen_name=None, geo=None, coordinates=None, place=None, contributors=None, retweeted_status=Status(_api=<tweepy.api.API object at 0x118029518>, _json={'created_at': 'Tue Mar 14 08:21:45 +0000 2017', 'id': 841564995561369600, 'id_str': '841564995561369600', 'text': '_™–¢ _™ö_™Ž CHELTENHAM DAY 1 TIPS _™ö_™Ž_™–¢\n\n_™ö The NAP\n\n_™ö The NB\n\n_™ö 4 Cards\n\n_™ö Lucky 15\n\n_™ö Win and Each Way double\n\nŠ__´Ù https://t.co/8iTlsinZi3', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/8iTlsinZi3', 'expanded_url': 'https://www.sbat.com/tips/todays-free-horse-racing-tips', 'display_url': 'sbat.com/tips/todays-frŠ—_', 'indices': [106, 129]}]}, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 1469, 'favorite_count': 48, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}, created_at=datetime.datetime(2017, 3, 14, 8, 21, 45), id=841564995561369600, id_str='841564995561369600', text='_™–¢ _™ö_™Ž CHELTENHAM DAY 1 TIPS _™ö_™Ž_™–¢\n\n_™ö The NAP\n\n_™ö The NB\n\n_™ö 4 Cards\n\n_™ö Lucky 15\n\n_™ö Win and Each Way double\n\nŠ__´Ù https://t.co/8iTlsinZi3', truncated=False, entities={'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/8iTlsinZi3', 'expanded_url': 'https://www.sbat.com/tips/todays-free-horse-racing-tips', 'display_url': 'sbat.com/tips/todays-frŠ—_', 'indices': [106, 129]}]}, source='Twitter Web Client', source_url='http://twitter.com', in_reply_to_status_id=None, in_reply_to_status_id_str=None, in_reply_to_user_id=None, in_reply_to_user_id_str=None, in_reply_to_screen_name=None, geo=None, coordinates=None, place=None, contributors=None, is_quote_status=False, retweet_count=1469, favorite_count=48, favorited=False, retweeted=False, possibly_sensitive=False, lang='en'), is_quote_status=False, retweet_count=1469, favorite_count=0, favorited=False, retweeted=False, lang='en')",FALSE,FALSE,Donella Nothem,1,0,71
