,screen_name,desc_bot,Days
0,mcgucket_bot,1,538
1,BowieK66,0,25
2,ducknoteprice,0,956
3,robotrecipes,1,678
4,everyumlaut,1,686
5,glossatory,1,332
6,Fancypants6047,0,85
7,Hedgehogize,0,1010
8,jamieph93986621,0,48
9,NothemDonella,0,71
10,pony_strategies,0,1229
11,imgconvos,0,872
12,StobbeKindra,0,66
13,cgagraphics,0,1046
14,ngthaohuong97,0,473
15,m_h_nishimura,0,27
16,TheYearofLuigi,0,1333
17,litpatches_txt,1,669
18,everysimile,1,1036
19,J_C_Christensen,0,27
20,lenirvana666,0,1718
21,DrPhilRx,0,994
22,DivinaCooperi,0,431
23,libraryofemoji,0,1022
24,wrap_papers,0,2508
25,BloombrgNewsish,0,1749
26,OliverBarkBark,0,653
27,jargotron,0,1236
28,Games4Grownups,0,1216
29,Lowpolybot,1,883
30,2blessed_exe,0,365
31,poem_exe,1,1022
32,HigherEdSurge,0,436
33,GUNNERCARTERXX,0,131
34,myah581,0,830
35,starnearyou,1,878
36,wayback_exe,1,561
37,wutahiq19,0,131
38,OldLSystemBot,0,62
39,low_battery_tho,0,904
40,yeahashleyrober,0,75
41,WonderWoman0716,0,27
42,faq_walkthrough,0,1229
43,AutoNetflix,0,901
44,FeinmanAltha,0,45
45,VoynichTechNews,0,1287
46,xx5sosvines01,0,280
47,throam_bot,0,376
48,NMBPoGoAlert,0,222
49,ButtlawMcButt,0,1121
50,GilgameshTweets,0,154
51,dronesweetie,0,708
52,PenryParmelee,0,145
53,altagraciao86,0,433
54,bookonbalcony,0,330
55,SuperbOwl3000,0,1241
56,ARealRiver,0,920
57,tiny_astro_naut,0,959
58,ceubehen,0,71
59,ljw269,0,61
60,armspirits,0,651
61,marcelinep16,0,430
62,epigen_papers,0,1047
63,tardygram,0,621
64,SharksOnCouches,0,2078
65,LucileRobertsa,0,131
66,SylverBot,0,1640
67,adventvrecall,0,978
68,greatartbot,0,1229
69,dtufreak,0,1295
70,patrinafbryantz,0,132
71,bot_things,0,1029
72,MuzeumBot,0,1042
73,fantasy_florist,0,945
74,hypoxiapapers,0,991
75,MysteriousW0rld,0,25
76,netflixtaglines,1,1075
77,MythologyBot,1,880
78,THMarcella,0,943
79,themetgallery,1,55
80,FFD8FFDB,0,868
81,DuniaOnePiece,0,1424
82,wz77,0,1258
83,scell_papers,1,766
84,WizardGenerator,0,364
85,bouquetbot,0,785
86,astronaut_bot,1,155
87,censusAmericans,0,663
88,tibbits_marcus,0,27
89,3461holley,0,221
90,isu_bot2_fs,1,2407
91,HaikuMurakami,0,708
92,Clippy_exe,0,297
93,fullmetaliberty,0,869
94,cancerSL,0,1136
95,phylogeo_papers,0,1138
96,asdfghjkl0l2,0,2003
97,sexyeveryword,0,930
98,hortensiadicke3,0,143
99,Sexkitten0422,0,1058
100,kanyejordan,0,2386
101,someboxes,0,460
102,mahireyvazov,0,1542
103,mlegoudes262,0,2312
104,1lovetakes2,0,2467
105,coolbot420,1,930
106,topbiopapers,0,2061
107,STaafunnyx,0,431
108,bionet_papers,0,1124
109,pizzaclones,1,1264
110,DistractedGenie,1,1063
111,space_stories,1,647
112,CantorLogical,0,1134
113,sg_ebooks,0,1011
114,scientificpaper,0,1104
115,biorxiv_genomic,0,291
116,scdicaprio,0,313
117,allemptysets,0,1104
118,thedismalblog,0,46
119,ahouseofdust,0,512
120,NY_Now,0,2713
121,_LostBuoy_,0,1261
122,spear_one,0,1820
123,kordeidangerouz,0,582
124,andrewhuangbot,1,190
125,AllTheCheeses,0,2878
126,fly_papers,1,1505
127,Suarez06356267,0,27
128,Eyescaler,0,1094
129,soeqaib,0,161
130,AllOilPainting,0,2874
131,SmoothUnicode,0,1287
132,charand522,0,27
133,CultEvoBot,0,1274
134,SAmallenxx18,0,432
135,beiwiqe25,0,106
136,helpmeetgoal,0,777
137,chinesphere,0,260
138,xbangtan1,0,276
139,eachtown,0,1296
140,NixieBot,0,699
141,Zzt_ebooks,0,1323
142,angelia_irr,0,52
143,NaiveAnswers,0,1002
144,biofilmPapers,0,825
145,baeksehuniie,0,393
146,TwoHeadlines,0,1320
147,sponge_papers,0,941
148,CitiBikeDocks,0,602
149,likeuberbut,0,791
150,beefl96,0,71
151,GoogleFacts,0,1813
152,vox_ebooks,0,977
153,synbio_papers,0,768
154,nice_tips_bot,1,898
155,quantifiedinky,0,998
156,ididmorepushups,0,816
157,assignments_txt,1,997
158,TwitterMovies,0,1942
159,lixoxept96,0,160
160,BotMtGFlavor,0,1211
161,DSWalsh6,0,125
162,XsGonnaX,0,1234
163,Fact,0,3665
164,reverseocr,1,979
165,anamariaq27,0,71
166,litoraptor,0,2196
167,colorschemez,1,771
168,startup_o_matic,1,152
169,Joey_Cartero,0,828
170,1pRsHsia8WbmoD7,0,219
171,menubot,0,524
172,BioCodePapers,1,792
173,gorillacities,0,1004
174,SydneyPogoMap,0,88
175,JpTeixeira01,0,1581
176,CRISPR_papers,1,947
177,SluttySara,0,2619
178,suavkog95,0,828
179,rosalinemckeit4,0,27
180,eatdicks4health,0,27
181,TrevisanOlympia,0,50
182,ProtasMerrill,0,188
183,not_a_cop_bot,0,682
184,FollowNoire,0,59
185,MltplSclppr,0,693
186,theDesireBot,0,812
